half_year,tmax,tmin,af,rainfall,sun
first,16,6.7,0,61.6,179.2
first,20,10.5,0,12.6,203.8
latter,17.4,10.8,0,144.5,106.2
latter,18.2,11,0,138.4,126.6
latter,15.7,9.3,0,115.8,128.8
latter,12.4,6.3,3,143.9,76.5
latter,8.8,2.6,7,84.3,67.8
latter,9.7,5.4,0,95.6,26
first,9.5,4.9,0,174.4,26.7
first,8.1,2.3,6,170.7,64.9
first,9.5,2.5,3,198.7,93.7
first,10.7,3.1,5,52.5,139.4
first,16.9,7.1,0,25.1,217.3
first,18.3,9.1,0,76.4,179
latter,22.2,11.4,0,22,259.5
latter,18.1,11.3,0,133.9,131
latter,16,8.8,0,82.7,104
latter,13.6,7.7,0,130.6,78.8
latter,8.2,2.8,7,42.3,70.5
latter,4.8,-0.1,15,83.1,22.8
first,8.1,3.6,0,252,33.3
first,8.7,3.4,0,245.9,44.2
first,10.6,4.9,2,181,74.8
first,12.2,3.8,1,74.3,134
first,17.2,7.8,0,61.7,196.5
first,17.6,9.5,0,103.9,128.4
latter,20,11.5,0,52.5,215.2
latter,18.9,12,0,78.1,121.3
latter,15.7,8.3,0,65,129.2
latter,12.8,7.7,0,207.2,60.5
latter,8.4,2.5,10,59,81.8
latter,7.1,1.3,10,152,37.1
first,5.4,0.5,11,149.4,37.5
first,5.6,-0.3,15,63.4,67.4
first,10.6,3.8,1,98.1,79.6
first,12,4.7,1,129,144.7
first,16.5,7.6,0,9.1,195.1
first,16.4,8,0,96.2,165.6
latter,20.8,13.1,0,86.5,145.5
latter,19.6,12.6,0,48.8,131
latter,17.4,8.8,0,120,150.6
latter,12.1,6.4,0,102.5,64.8
latter,8.7,3.2,6,185.2,51.6
latter,7.8,2.2,6,136.4,19.2
first,7.1,1.4,14,124.8,28.9
first,8.3,2.8,4,173.7,51
first,9.8,4,2,145.8,72.6
first,11.4,4.7,0,73.5,71.9
first,17.4,8,0,84.4,192.1
first,19.7,11.3,0,29.1,171.3
latter,18.6,11.2,0,72.9,130.1
latter,17.5,10.6,0,171.5,140.9
latter,14.8,9,0,161.8,90.5
latter,10.4,2.9,4,78.5,102.7
latter,9.2,2.8,6,183.3,36.3
latter,6.2,1.1,11,94.8,18.1
first,7.8,1.7,7,277.5,27.8
first,8.8,3.4,4,21,36.9
first,9.7,2.5,7,109.4,92.6
first,12.5,4.5,1,118.6,97.8
first,15,6,0,96.5,129.8
first,18,10.3,0,42.6,99.5
latter,17.4,10.6,0,62.9,112
latter,18,9.1,0,61.8,159.7
latter,15.9,7.9,0,73.9,115.5
latter,10.7,4.1,6,72.3,95.3
latter,6.7,1.8,13,100.8,45.8
latter,5.8,1.1,9,217.7,29.9
first,6.6,1.7,7,193.7,32.5
first,5.1,0.5,9,79.4,47.5
first,8.9,3.2,0,217.9,88.1
first,11.8,4,0,91.1,131
first,15.2,6.1,0,12.7,186.4
first,16.6,9.3,0,89.8,150.8
latter,20,12.1,0,68.7,145
latter,18.3,10.9,0,124.2,158.8
latter,15.3,8.4,0,55.2,115.1
latter,12.2,6.2,0,71.7,69.5
latter,11.4,7.4,0,141.7,39.2
latter,7.9,3,6,277.8,24.7
first,6.6,0.8,12,181.5,55.7
first,7.6,2.4,5,182.7,69.4
first,8.1,1.7,8,104.2,100.3
first,13.1,5.3,1,36.4,145.3
first,15.9,6.8,0,63.1,170.4
first,20.1,9.5,0,26.2,259.9
latter,20.9,12.4,0,106,183.4
latter,22.7,13,0,22.1,234.2
latter,16.7,9.5,0,128.3,111.6
latter,14.6,8.9,0,279.5,79.6
latter,9.9,4.7,2,70.2,56.7
latter,4,-1.1,14,41,49.2
first,6.8,3.8,3,66.9,13.4
first,6.4,0.4,14,88.7,97.6
first,7.8,2.1,4,60,74.8
first,12,5.1,2,83,99.4
first,13.4,5.6,0,50.1,171.2
first,18.4,9.9,0,34.2,236.1
latter,19.2,11.3,0,59,151.7
latter,20.2,12.5,0,41.9,142.6
latter,17.6,10.1,0,49.8,158.5
latter,13.8,8.2,0,194.4,78
latter,7.8,2.3,8,148.6,84.7
latter,5.8,1.3,11,82.2,38.4
first,6,1.3,12,39.1,24.9
first,9,2.8,3,250.2,60.2
first,11,4.6,1,83.8,98.5
first,13.5,6,0,48.3,116
first,15.6,7,1,73,191.8
first,18.2,10.1,0,66.7,149.8
latter,20.3,12.4,0,48.3,144.9
latter,21.5,13.6,0,31.3,147.8
latter,16.3,9.2,0,114.3,147.4
latter,12.7,6.2,3,79.9,110.6
latter,10.6,5.9,0,74.9,36.5
latter,8,3.4,5,146.5,25.1
first,7.6,2.5,7,133.9,41.2
first,10,6.3,1,158.2,44.6
first,10.4,4.5,4,82.2,61.5
first,11.3,3.8,4,88.7,121.6
first,16.2,8.1,0,51.1,155
first,17,9.6,0,89.2,148.6
latter,18.1,11.4,0,123.4,135.9
